alvo_data,teimosinha_n,min_hits,custo15,custo_total,payout_total,profit,PASS,win_at,best_hits
18/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
19/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
21/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
22/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
23/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
24/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
25/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
26/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
28/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
29/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
30/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
31/03/2022,37,14,2.5,370.0,1493.65,1123.65,True,19,14
01/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
02/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
04/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
05/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
06/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
07/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
08/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
09/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
11/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
12/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
13/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
14/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
16/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
18/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
19/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
20/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
22/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
23/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
25/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
26/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
27/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
28/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
29/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
30/04/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
02/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
03/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
04/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
05/05/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
